"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,6/30/2019 0:00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,997.00,997.00,0.00,997.00,0.00,997.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00
5,6/30/2019 0:00:00,6,0.00,0.00,0.00,0.00,0.00,0.00,489146.00,489146.00,0.00,0.00,0.00,0.00,1936671.00,0.00,1936671.00,0.00,0.00,0.00,13932.00,0.00,13932.00,0.00,0.00,0.00,42167.00,42167.00,0.00,184122.00,0.00,184122.00,0.00,0.00,0.00,3271780.00,3271780.00,0.00,661841.00,0.00,661841.00,9.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,3.00,6.00,6.00,0.00,0.00,1.00,6.00,12.00,156.00,0.00,82.00,0.00,0.00,0.00,0.00,0.00,110.00
6,6/30/2019 0:00:00,7,0.00,0.00,0.00,0.00,0.00,0.00,895795.00,895795.00,0.00,0.00,0.00,0.00,20587930.00,0.00,20587930.00,0.00,0.00,0.00,281343.00,0.00,281343.00,0.00,0.00,0.00,803750.00,803750.00,0.00,20032.00,0.00,20032.00,3786148.00,0.00,3786148.00,25346836.00,25346836.00,0.00,56931.00,0.00,56931.00,9.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00,1.00,4.00,5.00,1.00,0.00,0.00,6.00,11.00,199.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,485.00
12,6/30/2019 0:00:00,11,0.00,0.00,0.00,0.00,0.00,0.00,260024.00,260024.00,0.00,0.00,0.00,0.00,3016673.00,0.00,3016673.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,386605.00,0.00,386605.00,167598.00,0.00,167598.00,3861875.00,3861875.00,0.00,30975.00,0.00,30975.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00
13,6/30/2019 0:00:00,12,0.00,0.00,0.00,0.00,0.00,0.00,17306269.00,17306269.00,0.00,2172374.00,2172374.00,0.00,29687415.00,0.00,29687415.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,13125957.00,0.00,13125957.00,62502194.00,62502194.00,0.00,210179.00,0.00,210179.00,4.00,3.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,3.00,3.00,6.00,1.00,0.00,0.00,0.00,1.00,7.00,829.00,518.00,0.00,0.00,0.00,0.00,0.00,0.00,1149.00
16,6/30/2019 0:00:00,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,393108.00,0.00,393108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40561.00,0.00,40561.00,0.00,0.00,0.00,433669.00,433669.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,6/30/2019 0:00:00,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
22,6/30/2019 0:00:00,17,0.00,0.00,0.00,0.00,0.00,0.00,25085004.00,25085004.00,0.00,0.00,0.00,0.00,37783981.00,0.00,37783981.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411973.00,0.00,411973.00,33509.00,0.00,33509.00,63362615.00,63362615.00,0.00,48148.00,0.00,48148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,1659.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00
26,6/30/2019 0:00:00,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,588000.00,588000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,588000.00,0.00,588000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00
28,6/30/2019 0:00:00,21,0.00,0.00,0.00,0.00,0.00,0.00,18231757.00,18231757.00,0.00,0.00,0.00,0.00,58395950.00,0.00,58395950.00,2857.00,2857.00,0.00,58037.00,0.00,58037.00,0.00,0.00,0.00,279593.00,279593.00,0.00,10606795.00,0.00,10606795.00,554759.00,0.00,554759.00,109997126.00,109997126.00,0.00,22207865.00,0.00,22207865.00,243.00,5.00,11.00,21.00,0.00,0.00,0.00,0.00,57.00,4.00,87.00,5.00,100.00,124.00,0.00,11.00,1.00,119.00,248.00,1842.00,1860.00,0.00,0.00,0.00,0.00,0.00,0.00,2847.00
42,6/30/2019 0:00:00,29,0.00,0.00,0.00,0.00,0.00,0.00,9452929.00,9452929.00,0.00,0.00,0.00,0.00,8776309.00,0.00,8776309.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19113088.00,19113088.00,0.00,883850.00,0.00,883850.00,10.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,4.00,6.00,0.00,0.00,0.00,6.00,10.00,155.00,484.00,2.00,0.00,0.00,0.00,0.00,0.00,63.00
47,6/30/2019 0:00:00,30,0.00,0.00,0.00,0.00,0.00,0.00,2646725.00,2646725.00,0.00,0.00,0.00,0.00,2319715.00,0.00,2319715.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229888.00,0.00,229888.00,0.00,0.00,0.00,5196328.00,5196328.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00
48,6/30/2019 0:00:00,31,0.00,0.00,0.00,0.00,0.00,0.00,24742.00,24742.00,0.00,0.00,0.00,0.00,2178180.00,0.00,2178180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188221.00,0.00,188221.00,212976.00,0.00,212976.00,2604119.00,2604119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,30.00,6.00,0.00,0.00,0.00,0.00,0.00,146.00
51,6/30/2019 0:00:00,32,0.00,0.00,0.00,0.00,0.00,0.00,122894187.00,122894187.00,0.00,0.00,0.00,0.00,264605539.00,0.00,264605539.00,715114.00,715114.00,0.00,15609608.00,0.00,15609608.00,0.00,0.00,0.00,42316431.00,42316431.00,0.00,51945386.00,0.00,51945386.00,47972924.00,0.00,47972924.00,539069915.00,539069915.00,0.00,51651879.00,0.00,51651879.00,297.00,0.00,5.00,22.00,0.00,0.00,51.00,0.00,70.00,0.00,177.00,0.00,164.00,93.00,0.00,52.00,0.00,120.00,297.00,9930.00,7412.00,9.00,0.00,0.00,0.00,0.00,0.00,4355.00
53,6/30/2019 0:00:00,33,0.00,0.00,0.00,0.00,0.00,0.00,3275109.00,3275109.00,0.00,0.00,0.00,0.00,7539439.00,0.00,7539439.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12077873.00,12077873.00,0.00,1263325.00,0.00,1263325.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,9.00,107.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
60,6/30/2019 0:00:00,35,0.00,0.00,0.00,0.00,0.00,0.00,3998418.00,3998418.00,0.00,4512920.00,4512920.00,0.00,35635260.00,0.00,35635260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,504889.00,504889.00,0.00,2504527.00,0.00,2504527.00,1794782.00,0.00,1794782.00,52936184.00,52936184.00,0.00,4490277.00,0.00,4490277.00,92.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,20.00,0.00,20.00,72.00,0.00,5.00,0.00,72.00,92.00,229.00,656.00,0.00,0.00,0.00,0.00,0.00,0.00,1564.00
62,6/30/2019 0:00:00,36,0.00,0.00,0.00,0.00,0.00,0.00,168549.00,168549.00,0.00,0.00,0.00,0.00,595680.00,0.00,595680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104900.00,0.00,104900.00,869129.00,869129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
75,6/30/2019 0:00:00,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
77,6/30/2019 0:00:00,41,0.00,0.00,0.00,0.00,0.00,0.00,3161715.00,3161715.00,0.00,504452.00,504452.00,0.00,0.00,0.00,0.00,8452.00,8452.00,0.00,6475.00,0.00,6475.00,0.00,0.00,0.00,235315.00,235315.00,0.00,124930.00,0.00,124930.00,0.00,0.00,0.00,10320492.00,10320492.00,0.00,6529395.00,0.00,6529395.00,69.00,2.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,2.00,30.00,2.00,32.00,39.00,0.00,8.00,0.00,39.00,71.00,118.00,236.00,0.00,3.00,0.00,0.00,0.00,3.00,461.00
79,6/30/2019 0:00:00,43,0.00,0.00,0.00,0.00,0.00,0.00,23398828.00,23398828.00,0.00,2217752.00,2217752.00,0.00,38235026.00,0.00,38235026.00,0.00,0.00,0.00,1284886.00,0.00,1284886.00,0.00,0.00,0.00,7083759.00,7083759.00,0.00,271200.00,0.00,271200.00,11491180.00,0.00,11491180.00,84290838.00,84290838.00,0.00,8676852.00,0.00,8676852.00,221.00,2.00,26.00,98.00,0.00,0.00,52.00,0.00,14.00,2.00,75.00,2.00,77.00,22.00,0.00,6.00,0.00,146.00,223.00,1040.00,944.00,3.00,0.00,0.00,0.00,0.00,0.00,1930.00
82,6/30/2019 0:00:00,46,0.00,0.00,0.00,0.00,0.00,0.00,37003888.00,37003888.00,0.00,0.00,0.00,0.00,7987889.00,0.00,7987889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10573921.00,0.00,10573921.00,1619790.00,16808532.00,18428322.00,76634315.00,59825783.00,16808532.00,2640295.00,0.00,2640295.00,14.00,3.00,0.00,0.00,0.00,0.00,5.00,0.00,8.00,3.00,14.00,3.00,17.00,0.00,0.00,1.00,0.00,0.00,17.00,691.00,911.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00
90,6/30/2019 0:00:00,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1188700.00,0.00,1188700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1188700.00,1188700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00
98,6/30/2019 0:00:00,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
107,6/30/2019 0:00:00,57,0.00,0.00,0.00,0.00,0.00,0.00,226789.00,226789.00,0.00,0.00,0.00,0.00,4724162.00,0.00,4724162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176010.00,0.00,176010.00,0.00,0.00,0.00,5818461.00,5818461.00,0.00,691500.00,0.00,691500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00
108,6/30/2019 0:00:00,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392828.00,0.00,392828.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53799.00,0.00,53799.00,446627.00,446627.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.00
110,6/30/2019 0:00:00,59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,0.00,9.00,0.00,0.00,9.00,46.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00
112,6/30/2019 0:00:00,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
118,6/30/2019 0:00:00,61,0.00,0.00,0.00,0.00,0.00,0.00,9185396.00,9185396.00,0.00,0.00,0.00,0.00,14363774.00,0.00,14363774.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,551798.00,0.00,551798.00,7600258.00,0.00,7600258.00,33216307.00,33216307.00,0.00,1515081.00,0.00,1515081.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.00,394.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00
119,6/30/2019 0:00:00,62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,546865.00,0.00,546865.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,546865.00,546865.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
120,6/30/2019 0:00:00,63,0.00,0.00,0.00,0.00,0.00,0.00,9144335.00,9144335.00,0.00,0.00,0.00,0.00,3223102.00,0.00,3223102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750000.00,0.00,750000.00,14442228.00,14442228.00,0.00,1324791.00,0.00,1324791.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
132,6/30/2019 0:00:00,69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,6/30/2019 0:00:00,70,0.00,0.00,0.00,0.00,0.00,0.00,927261.00,927261.00,0.00,0.00,0.00,0.00,3072127.00,0.00,3072127.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32956.00,0.00,32956.00,157444.00,0.00,157444.00,5223473.00,5223473.00,0.00,1033685.00,0.00,1033685.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00,121.00,217.00,0.00,0.00,0.00,0.00,0.00,0.00,587.00
138,6/30/2019 0:00:00,72,0.00,0.00,0.00,0.00,0.00,0.00,420645.00,420645.00,0.00,0.00,0.00,0.00,2171410.00,0.00,2171410.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2636040.00,2636040.00,0.00,43985.00,0.00,43985.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,117.00
146,6/30/2019 0:00:00,74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00
147,6/30/2019 0:00:00,75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,13.00
150,6/30/2019 0:00:00,77,0.00,0.00,0.00,0.00,0.00,0.00,14475078.00,14475078.00,0.00,0.00,0.00,0.00,63621566.00,0.00,63621566.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15045534.00,0.00,15045534.00,0.00,9459693.00,9459693.00,110853841.00,101394148.00,9459693.00,8251970.00,0.00,8251970.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,15.00,15.00,0.00,26.00,0.00,3.00,26.00,41.00,124.00,805.00,12.00,0.00,0.00,0.00,0.00,0.00,73.00
151,6/30/2019 0:00:00,78,0.00,0.00,0.00,0.00,0.00,0.00,29061241.00,29061241.00,0.00,0.00,0.00,0.00,182792866.00,0.00,182792866.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22990899.00,0.00,22990899.00,0.00,0.00,0.00,236240125.00,236240125.00,0.00,1395119.00,0.00,1395119.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1672.00,1970.00,0.00,0.00,0.00,0.00,0.00,0.00,261.00
153,6/30/2019 0:00:00,80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,6/30/2019 0:00:00,83,0.00,0.00,0.00,0.00,0.00,0.00,56204323.00,56204323.00,0.00,16448476.00,16448476.00,0.00,73660636.00,0.00,73660636.00,0.00,0.00,0.00,2372612.00,0.00,2372612.00,0.00,0.00,0.00,37192219.00,37192219.00,0.00,11427416.00,0.00,11427416.00,19872984.00,0.00,19872984.00,182518836.00,182518836.00,0.00,4905001.00,0.00,4905001.00,1470.00,2.00,9.00,1087.00,0.00,0.00,94.00,0.00,35.00,2.00,137.00,2.00,127.00,237.00,0.00,4.00,0.00,263.00,1472.00,2899.00,652.00,2575.00,0.00,0.00,0.00,0.00,0.00,1490.00
162,6/30/2019 0:00:00,85,0.00,0.00,0.00,0.00,0.00,0.00,6857097.00,6857097.00,0.00,0.00,0.00,0.00,11966524.00,0.00,11966524.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2423038.00,0.00,2423038.00,0.00,0.00,0.00,23123425.00,23123425.00,0.00,1876766.00,0.00,1876766.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.00,179.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00
167,6/30/2019 0:00:00,87,0.00,0.00,0.00,0.00,0.00,0.00,3281301.00,3255727.00,25574.00,5908516.00,5908516.00,0.00,5664787.00,0.00,5664787.00,0.00,0.00,0.00,37489.00,61396.00,98885.00,454401.00,0.00,454401.00,6368386.00,6306990.00,61396.00,1255173.00,0.00,1255173.00,1718870.00,0.00,1718870.00,17828647.00,17803073.00,25574.00,0.00,0.00,0.00,521.00,1.00,9.00,12.00,0.00,0.00,138.00,0.00,0.00,0.00,198.00,1.00,199.00,302.00,0.00,10.00,0.00,323.00,522.00,1302.00,530.00,0.00,49.00,0.00,0.00,0.00,49.00,2307.00
168,6/30/2019 0:00:00,88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3000479.00,0.00,3000479.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3586174.00,3586174.00,0.00,585695.00,0.00,585695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
169,6/30/2019 0:00:00,89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
174,6/30/2019 0:00:00,91,0.00,0.00,0.00,0.00,0.00,0.00,149668.00,149668.00,0.00,200325.00,200325.00,0.00,18683628.00,0.00,18683628.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77348.00,0.00,77348.00,3430388.00,0.00,3430388.00,23058136.00,23058136.00,0.00,516779.00,0.00,516779.00,51.00,11.00,20.00,4.00,0.00,0.00,10.00,0.00,4.00,4.00,19.00,8.00,27.00,8.00,3.00,3.00,4.00,37.00,62.00,628.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,1391.00
